Date;Month;Year;Day;Hour;Grid;PV;Storage;C65B;C65
8/12/2014 0:00;12;2014;8;0;100.3069443;0.020265043;-1.600000024;0.106712643;0.146011403
8/12/2014 1:00;12;2014;8;1;96.60202548;0.020992963;-1.600000024;0.10644789;0.145904033
8/12/2014 2:00;12;2014;8;2;93.3857811;0.020780379;-1.600000024;0.106604145;0.147241947
8/12/2014 3:00;12;2014;8;3;96.01064441;0.020210348;-1.600000024;0.10677808;0.147392236
8/12/2014 4:00;12;2014;8;4;98.42012036;0.020632809;-1.600000024;0.106655664;0.14605792
8/12/2014 5:00;12;2014;8;5;115.8454662;0.021422103;-1.600000024;0.106697675;0.146995606
8/12/2014 6:00;12;2014;8;6;119.2827375;0.020844893;-1.600000024;0.106486085;0.145964578
8/12/2014 7:00;12;2014;8;7;116.7401675;0.020212904;-1.600000024;0.106369784;0.14520965
8/12/2014 8:00;12;2014;8;8;104.1796323;-1.06045277;-1.600000024;0.10653981;0.144433057
8/12/2014 9:00;12;2014;8;9;98.73831164;-13.45356367;-1.600000024;0.106214445;0.146716158
8/12/2014 10:00;12;2014;8;10;106.2899534;-20.69354324;-1.600000024;0.10680383;0.146129247
8/12/2014 11:00;12;2014;8;11;103.0624173;-34.3009133;-1.600000024;0.10671618;0.14695392
8/12/2014 12:00;12;2014;8;12;98.15002873;-37.22300332;-1.600000024;0.10690269;0.146615754
8/12/2014 13:00;12;2014;8;13;93.8950119;-32.17777656;-1.600000024;0.106708625;0.147045146
8/12/2014 14:00;12;2014;8;14;100.7826167;-20.68716322;-1.600000024;0.106290795;0.145494581
8/12/2014 15:00;12;2014;8;15;125.8168638;-5.800419696;-1.600000024;0.106177214;0.144667883
8/12/2014 16:00;12;2014;8;16;131.3092342;-0.304424701;-1.600000024;0.106039286;0.144921966
8/12/2014 17:00;12;2014;8;17;132.6381145;0.02228876;-1.600000024;0.10628006;0.144663413
8/12/2014 18:00;12;2014;8;18;125.3701396;0.021735833;-1.600000024;0.1065806;0.14447198
8/12/2014 19:00;12;2014;8;19;130.3685036;0.022376815;-1.600000024;0.106454519;0.145206496
8/12/2014 20:00;12;2014;8;20;137.6743044;0.022007396;-1.600000024;0.106806465;0.14628882
8/12/2014 21:00;12;2014;8;21;133.3097291;0.023231653;-1.600000024;0.10641352;0.146298007
8/12/2014 22:00;12;2014;8;22;113.0596746;0.022044217;-1.600000024;0.105972595;0.145622823
8/12/2014 23:00;12;2014;8;23;100.5795695;0.021446449;-1.600000024;0.106406804;0.146187637
